Name,Socket,Core Count,Thread Count,Base Clock,Boost Clock,TDP,Price,Performance_Class
Intel Core i3-14100,LGA1700,4,8,3.5 GHz,4.7 GHz,60 W,27805,Entry
Intel Core i7-9700F,LGA1151,8,8,3.0 GHz,4.7 GHz,65 W,28878,High
Intel Core Ultra 7 265,LGA1851,20,20,2.4 GHz,5.3 GHz,65 W,40869,High
Intel Core i7-9700,LGA1151,8,8,3.0 GHz,4.7 GHz,65 W,39114,High
AMD Ryzen 5 3600XT,AM4,6,12,3.8 GHz,4.5 GHz,95 W,20029,Mid
Intel Core i5-12500,LGA1700,6,12,3.0 GHz,4.6 GHz,65 W,24161,Mid
Intel Core i5-14500,LGA1700,14,20,2.6 GHz,5.0 GHz,65 W,51146,High
Intel Core i5-11400,LGA1200,6,12,2.6 GHz,4.4 GHz,65 W,23238,Mid
Intel Core i9-12900KS,LGA1700,16,24,3.4 GHz,5.5 GHz,150 W,52548,Pro
AMD Ryzen 5 2400G,AM4,4,8,3.6 GHz,3.9 GHz,65 W,19034,Entry
Intel Core i9-9900KF,LGA1151,8,16,3.6 GHz,5.0 GHz,95 W,46593,Pro
Intel Core i3-8100,LGA1151,4,4,3.6 GHz,,65 W,7805,Entry
Intel Core i7-4790,LGA1150,4,8,3.6 GHz,4.0 GHz,84 W,18819,High
AMD Ryzen 7 1700,AM4,8,16,3.0 GHz,3.7 GHz,65 W,17515,High
AMD Ryzen 9 3900XT,AM4,12,24,3.8 GHz,4.7 GHz,105 W,44957,Pro
Intel Core i7-4770K,LGA1150,4,8,3.5 GHz,3.9 GHz,84 W,11676,High
Intel Core i7-11700KF,LGA1200,8,16,3.6 GHz,5.0 GHz,125 W,34916,High
AMD Athlon 3000G (14nm),AM4,2,4,3.5 GHz,,35 W,8172,Entry
Intel Core i5-8500,LGA1151,6,6,3.0 GHz,4.1 GHz,65 W,21018,Mid
AMD Ryzen 3 2200G,AM4,4,4,3.5 GHz,3.7 GHz,65 W,11676,Entry
Intel Core i7-10700KF,LGA1200,8,16,3.8 GHz,5.1 GHz,125 W,37893,High
Intel Core i5-7400,LGA1151,4,4,3.0 GHz,3.5 GHz,65 W,16347,Mid
Intel Core i5-9400,LGA1151,6,6,2.9 GHz,4.1 GHz,65 W,16464,Mid
Intel Core i5-3470,LGA1155,4,4,3.2 GHz,,77 W,6423,Mid
Intel Core i7-3770K,LGA1155,4,8,3.5 GHz,,77 W,17632,High
Intel Core i5-4690,LGA1150,4,4,3.5 GHz,3.9 GHz,84 W,6072,Mid
Intel Core i3-9100F,LGA1151,4,4,3.6 GHz,4.2 GHz,65 W,11326,Entry
Intel Xeon E5-2680 V4,LGA2011-3,14,28,2.4 GHz,3.3 GHz,120 W,239389,Pro
Intel Core i3-4150,LGA1150,2,4,3.5 GHz,,54 W,3494,Entry
AMD Ryzen 5 1600X,AM4,6,12,3.6 GHz,4.0 GHz,95 W,11443,Entry
Intel Core i3-10100,LGA1200,4,8,3.6 GHz,4.3 GHz,65 W,18683,Entry
Intel Core i5-7600K,LGA1151,4,4,3.8 GHz,4.2 GHz,91 W,35540,Mid
Intel Core i5-13400,LGA1700,10,16,2.5 GHz,4.6 GHz,65 W,37544,Mid
Intel Core i7-11700,LGA1200,8,16,2.5 GHz,4.9 GHz,65 W,48513,High
Intel Core i5-11600KF,LGA1200,6,12,3.9 GHz,4.9 GHz,125 W,17048,Mid
Intel Core i9-11900KF,LGA1200,8,16,3.5 GHz,5.3 GHz,125 W,51264,Pro
